driver,team,grid_position,fp3_lap_delta_s,fp3_s1_delta_s,fp3_s2_delta_s,fp3_s3_delta_s,fp3_speed_max,fp3_num_laps,fp2_lap_delta_s,fp2_s1_delta_s,fp2_s2_delta_s,fp2_s3_delta_s,fp2_speed_max,fp2_num_laps,fp1_lap_delta_s,fp1_s1_delta_s,fp1_s2_delta_s,fp1_s3_delta_s,fp1_speed_max,fp1_num_laps,fp3_teammate_delta_s,driver_points,driver_championship_pos,constructor_points,constructor_championship_pos,avg_finish_last_n,dnf_rate_last_n,is_street_circuit,year,round,circuit_name
VER,Red Bull,1.0,0.01999999999999602,0.09000000000000341,0.0,0.22800000000000153,327.0,22.0,0.3810000000000002,0.15199999999999747,0.07199999999999918,0.11999999999999744,322.0,13.0,0.018000000000000682,0.11200000000000188,0.05999999999999872,0.23100000000000165,320.0,8.0,0.0,51.0,1,87.0,1,1.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
SAI,Ferrari,2.0,0.07699999999999818,0.010000000000001563,0.21999999999999886,0.0,324.0,11.0,0.4299999999999926,0.14099999999999824,0.1410000000000018,0.14300000000000068,321.0,17.0,0.1220000000000141,0.19200000000000017,0.245000000000001,0.0,317.0,10.0,0.07699999999999818,15.0,6,49.0,2,3.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
PER,Red Bull,3.0,0.29999999999999716,0.23500000000000298,0.053000000000000824,0.3100000000000023,328.0,18.0,0.8130000000000024,0.36599999999999966,0.21000000000000085,0.25799999999999557,322.0,22.0,0.07800000000000296,0.14300000000000068,0.0990000000000002,0.0730000000000004,323.0,15.0,0.28000000000000114,36.0,2,87.0,1,2.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
NOR,McLaren,4.0,0.7759999999999962,0.03400000000000247,0.35800000000000054,0.554000000000002,319.0,14.0,0.8780000000000001,0.34299999999999997,0.08900000000000219,0.4159999999999968,322.0,15.0,0.0,0.0,0.2289999999999992,0.1980000000000004,318.0,14.0,0.4029999999999916,12.0,8,28.0,3,7.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
LEC,Ferrari,5.0,0.0,0.09000000000000341,0.07000000000000028,0.04899999999999949,323.0,13.0,0.0,0.0,0.0,0.0,321.0,18.0,0.0350000000000108,0.0470000000000006,0.16199999999999903,0.06400000000000006,316.0,13.0,0.0,28.0,3,49.0,2,3.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
PIA,McLaren,6.0,0.37300000000000466,0.03300000000000125,0.18999999999999773,0.43200000000000216,321.0,10.0,0.7999999999999972,0.34699999999999775,0.07600000000000051,0.367999999999995,320.0,20.0,0.3540000000000134,0.129999999999999,0.05000000000000071,0.48799999999999955,319.0,17.0,0.0,16.0,5,28.0,3,6.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
RUS,Mercedes,7.0,0.17199999999999704,0.0,0.21699999999999875,0.1980000000000004,318.0,17.0,0.6739999999999924,0.08899999999999864,0.11500000000000199,0.36299999999999955,321.0,18.0,0.03300000000000125,0.05100000000000193,0.07199999999999918,0.25099999999999767,319.0,12.0,0.0799999999999983,18.0,4,26.0,4,5.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
TSU,RB F1 Team,8.0,0.9590000000000032,0.24600000000000222,0.33200000000000074,0.679000000000002,321.0,13.0,0.9110000000000014,0.4139999999999979,0.19900000000000162,0.3639999999999972,321.0,20.0,0.05700000000000216,0.007999999999999119,0.20899999999999963,0.267000000000003,318.0,20.0,0.0,0.0,18,0.0,9,14.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
STR,Aston Martin,9.0,0.6269999999999953,0.14700000000000202,0.3039999999999985,0.40800000000000125,322.0,12.0,0.5450000000000017,0.08999999999999986,0.08999999999999986,0.269999999999996,323.0,20.0,0.10300000000000864,0.08699999999999974,0.0,0.29699999999999704,321.0,17.0,0.3439999999999941,1.0,12,13.0,5,14.5,0.5,1,2024,3,Albert Park Grand Prix Circuit
ALO,Aston Martin,10.0,0.28300000000000125,0.10400000000000276,0.10299999999999798,0.37400000000000233,323.0,10.0,0.6350000000000051,0.21799999999999997,0.08699999999999974,0.33899999999999864,322.0,23.0,1.152000000000001,0.554000000000002,0.16699999999999804,0.8029999999999973,320.0,8.0,0.0,12.0,7,13.0,5,7.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
HAM,Mercedes,11.0,0.09199999999999875,0.07900000000000063,0.120000000000001,0.12700000000000244,324.0,10.0,1.5570000000000022,0.5629999999999988,0.15000000000000213,0.6739999999999995,322.0,14.0,0.20700000000000784,0.2240000000000002,0.21199999999999974,0.10999999999999943,318.0,13.0,0.0,8.0,9,26.0,4,8.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
ALB,Williams,12.0,1.0450000000000017,0.2840000000000025,0.20199999999999818,0.8170000000000002,325.0,15.0,0.8945000000000007,0.347999999999999,0.14050000000000118,0.3734999999999964,321.5,20.0,0.8790000000000049,0.37900000000000134,0.3979999999999997,0.5289999999999964,317.0,7.0,0.0,0.0,13,0.0,7,13.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
BOT,Kick Sauber,13.0,1.0379999999999967,0.3450000000000024,0.43100000000000094,0.4590000000000032,321.0,10.0,1.3079999999999927,0.3379999999999974,0.3910000000000018,0.644999999999996,319.0,22.0,1.4500000000000028,0.5719999999999992,0.504999999999999,0.7849999999999966,312.0,13.0,0.0,0.0,20,0.0,8,18.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
MAG,Haas F1 Team,14.0,1.2469999999999999,0.397000000000002,0.2289999999999992,0.7240000000000038,326.0,11.0,1.9980000000000047,0.37299999999999756,0.14000000000000057,0.7539999999999978,324.0,25.0,0.9250000000000114,0.16199999999999903,0.2740000000000009,0.7060000000000031,318.0,15.0,0.01999999999999602,0.0,15,1.0,6,12.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
OCO,Alpine F1 Team,15.0,1.206000000000003,0.34800000000000253,0.28800000000000026,0.8680000000000021,323.0,14.0,1.4279999999999973,0.565999999999999,0.13700000000000045,0.652000000000001,322.0,25.0,0.9970000000000141,0.5510000000000019,0.2809999999999988,0.5919999999999987,316.0,16.0,0.0,0.0,17,0.0,10,15.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
HUL,Haas F1 Team,16.0,1.2270000000000039,0.3960000000000008,0.18100000000000094,0.7690000000000055,326.0,10.0,1.4249999999999972,0.6179999999999986,0.245000000000001,0.6280000000000001,323.0,18.0,1.0400000000000063,0.33899999999999864,0.2989999999999995,0.6159999999999997,323.0,13.0,0.0,1.0,11,1.0,6,13.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
GAS,Alpine F1 Team,17.0,1.676000000000002,0.5370000000000026,0.4789999999999992,0.8260000000000005,319.0,14.0,1.4140000000000015,0.5399999999999991,0.16000000000000014,0.7419999999999973,321.0,24.0,1.058000000000007,0.5429999999999993,0.1509999999999998,0.7779999999999987,318.0,19.0,0.46999999999999886,0.0,21,0.0,10,19.0,0.5,1,2024,3,Albert Park Grand Prix Circuit
