driver,team,finish_position,grid_position,pit_stops,status,dnf,grid_used,q_best_lap_s,fp3_race_lap_delta_s,fp3_race_s1_delta_s,fp3_race_s2_delta_s,fp3_race_s3_delta_s,fp3_race_speed_max,fp3_race_teammate_delta_s,fp2_race_lap_delta_s,fp2_race_s1_delta_s,fp2_race_s2_delta_s,fp2_race_s3_delta_s,fp2_race_speed_max,fp2_race_teammate_delta_s,driver_points,driver_championship_pos,constructor_points,constructor_championship_pos,avg_finish_last_n,dnf_rate_last_n,is_street_circuit,year,round,circuit_name
SAI,Ferrari,1.0,2.0,2,Finished,0,2.0,76.185,0.07699999999999818,0.010000000000001563,0.21999999999999886,0.0,324.0,0.07699999999999818,0.4299999999999926,0.14099999999999824,0.1410000000000018,0.14300000000000068,321.0,0.4299999999999926,15.0,6,49.0,2,3.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
LEC,Ferrari,2.0,4.0,2,Finished,0,4.0,76.304,0.0,0.09000000000000341,0.07000000000000028,0.04899999999999949,323.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,28.0,3,49.0,2,3.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
NOR,McLaren,3.0,3.0,2,Finished,0,3.0,76.315,0.7759999999999962,0.03400000000000247,0.35800000000000054,0.554000000000002,319.0,0.4029999999999916,0.8780000000000001,0.34299999999999997,0.08900000000000219,0.4159999999999968,322.0,0.07800000000000296,12.0,8,28.0,3,7.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
PIA,McLaren,4.0,5.0,2,Finished,0,5.0,76.572,0.37300000000000466,0.03300000000000125,0.18999999999999773,0.43200000000000216,321.0,0.0,0.7999999999999972,0.34699999999999775,0.07600000000000051,0.367999999999995,320.0,0.0,16.0,5,28.0,3,6.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
PER,Red Bull,5.0,6.0,2,Finished,0,6.0,76.274,0.29999999999999716,0.23500000000000298,0.053000000000000824,0.3100000000000023,328.0,0.28000000000000114,0.8130000000000024,0.36599999999999966,0.21000000000000085,0.25799999999999557,322.0,0.43200000000000216,36.0,2,87.0,1,2.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
STR,Aston Martin,6.0,9.0,2,Finished,0,9.0,76.78,0.6269999999999953,0.14700000000000202,0.3039999999999985,0.40800000000000125,322.0,0.3439999999999941,0.5450000000000017,0.08999999999999986,0.08999999999999986,0.269999999999996,323.0,0.0,1.0,12,13.0,5,14.5,0.5,1,2024,3,Albert Park Grand Prix Circuit
TSU,RB F1 Team,7.0,8.0,2,Finished,0,8.0,76.788,0.9590000000000032,0.24600000000000222,0.33200000000000074,0.679000000000002,321.0,0.0,0.9110000000000014,0.4139999999999979,0.19900000000000162,0.3639999999999972,321.0,0.0,0.0,18,0.0,9,14.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
ALO,Aston Martin,8.0,10.0,2,Finished,0,10.0,76.71,0.28300000000000125,0.10400000000000276,0.10299999999999798,0.37400000000000233,323.0,0.0,0.6350000000000051,0.21799999999999997,0.08699999999999974,0.33899999999999864,322.0,0.09000000000000341,12.0,7,13.0,5,7.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
HUL,Haas F1 Team,9.0,16.0,2,Finished,0,16.0,77.976,1.2270000000000039,0.3960000000000008,0.18100000000000094,0.7690000000000055,326.0,0.0,1.4249999999999972,0.6179999999999986,0.245000000000001,0.6280000000000001,323.0,0.0,1.0,11,1.0,6,13.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
MAG,Haas F1 Team,10.0,14.0,2,Lapped,1,14.0,77.427,1.2469999999999999,0.397000000000002,0.2289999999999992,0.7240000000000038,326.0,0.01999999999999602,1.9980000000000047,0.37299999999999756,0.14000000000000057,0.7539999999999978,324.0,0.5730000000000075,0.0,15,1.0,6,12.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
ALB,Williams,11.0,12.0,2,Lapped,1,12.0,77.13,1.0450000000000017,0.2840000000000025,0.20199999999999818,0.8170000000000002,325.0,0.0,0.8945000000000007,0.347999999999999,0.14050000000000118,0.3734999999999964,321.5,0.006999999999997897,0.0,13,0.0,7,13.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
RIC,RB F1 Team,12.0,18.0,2,Lapped,1,18.0,78.085,1.2489999999999952,0.3180000000000014,0.36299999999999955,0.8659999999999997,322.0,0.28999999999999204,1.257000000000005,0.3490000000000002,0.2980000000000018,0.6759999999999948,321.0,0.34600000000000364,0.0,16,0.0,9,14.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
GAS,Alpine F1 Team,13.0,17.0,2,Lapped,1,17.0,77.982,1.676000000000002,0.5370000000000026,0.4789999999999992,0.8260000000000005,319.0,0.46999999999999886,1.4140000000000015,0.5399999999999991,0.16000000000000014,0.7419999999999973,321.0,0.0,0.0,21,0.0,10,19.0,0.5,1,2024,3,Albert Park Grand Prix Circuit
BOT,Kick Sauber,14.0,13.0,2,Lapped,1,13.0,77.34,1.0379999999999967,0.3450000000000024,0.43100000000000094,0.4590000000000032,321.0,0.0,1.3079999999999927,0.3379999999999974,0.3910000000000018,0.644999999999996,319.0,0.16399999999998727,0.0,20,0.0,8,18.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
ZHO,Kick Sauber,15.0,19.0,3,Lapped,1,19.0,78.188,1.1620000000000061,0.48200000000000287,0.4480000000000004,0.5300000000000011,320.0,0.12400000000000944,1.1440000000000055,0.5350000000000001,0.22500000000000142,0.3789999999999978,321.0,0.0,0.0,14,0.0,8,14.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
OCO,Alpine F1 Team,16.0,15.0,3,Lapped,1,15.0,77.617,1.206000000000003,0.34800000000000253,0.28800000000000026,0.8680000000000021,323.0,0.0,1.4279999999999973,0.565999999999999,0.13700000000000045,0.652000000000001,322.0,0.013999999999995794,0.0,17,0.0,10,15.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
RUS,Mercedes,17.0,7.0,2,Retired,1,7.0,76.724,0.17199999999999704,0.0,0.21699999999999875,0.1980000000000004,318.0,0.0799999999999983,0.6739999999999924,0.08899999999999864,0.11500000000000199,0.36299999999999955,321.0,0.0,18.0,4,26.0,4,5.5,0.0,1,2024,3,Albert Park Grand Prix Circuit
HAM,Mercedes,18.0,11.0,1,Retired,1,11.0,76.96,0.09199999999999875,0.07900000000000063,0.120000000000001,0.12700000000000244,324.0,0.0,1.5570000000000022,0.5629999999999988,0.15000000000000213,0.6739999999999995,322.0,0.8830000000000098,8.0,9,26.0,4,8.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
VER,Red Bull,19.0,1.0,1,Retired,1,1.0,75.915,0.01999999999999602,0.09000000000000341,0.0,0.22800000000000153,327.0,0.0,0.3810000000000002,0.15199999999999747,0.07199999999999918,0.11999999999999744,322.0,0.0,51.0,1,87.0,1,1.0,0.0,1,2024,3,Albert Park Grand Prix Circuit
VER,Red Bull,1.0,1.0,3,Finished,0,1.0,88.197,0.0,0.134999999999998,0.12000000000000455,0.0070000000000014495,298.0,0.0,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,51.0,1,97.0,1,7.0,0.3333333333333333,0,2024,4,Suzuka Circuit
PER,Red Bull,2.0,2.0,3,Finished,0,2.0,88.263,0.26899999999999125,0.14399999999999835,0.21100000000000563,0.17599999999999838,300.0,0.26899999999999125,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,46.0,3,97.0,1,3.0,0.0,0,2024,4,Suzuka Circuit
SAI,Ferrari,3.0,4.0,3,Finished,0,4.0,88.682,0.6080000000000041,0.495000000000001,0.15500000000000114,0.21799999999999997,297.0,0.0,17.854,3.979999999999997,6.259,8.221999999999998,216.0,13.818999999999988,40.0,4,93.0,2,2.0,0.0,0,2024,4,Suzuka Circuit
LEC,Ferrari,4.0,8.0,2,Finished,0,8.0,88.786,0.8199999999999932,0.5500000000000007,0.2259999999999991,0.30600000000000094,300.0,0.21199999999998909,4.035000000000011,2.421999999999997,1.8170000000000002,0.4029999999999987,290.0,0.0,47.0,2,93.0,2,3.0,0.0,0,2024,4,Suzuka Circuit
NOR,McLaren,5.0,3.0,3,Finished,0,3.0,88.489,0.5739999999999981,0.0,0.32200000000000273,0.27199999999999847,296.0,0.0,10.25200000000001,1.7730000000000032,1.2450000000000045,7.8409999999999975,213.0,10.25200000000001,27.0,6,55.0,3,5.666666666666667,0.0,0,2024,4,Suzuka Circuit
ALO,Aston Martin,6.0,5.0,3,Finished,0,5.0,88.686,0.5189999999999912,0.33999999999999986,0.27900000000000347,0.16199999999999903,297.0,0.0,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,16.0,8,25.0,5,7.333333333333333,0.0,0,2024,4,Suzuka Circuit
RUS,Mercedes,7.0,9.0,3,Finished,0,9.0,89.008,0.355000000000004,0.4480000000000004,0.0,0.16900000000000048,298.0,0.0,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,18.0,7,26.0,4,9.333333333333334,0.3333333333333333,0,2024,4,Suzuka Circuit
PIA,McLaren,8.0,6.0,3,Finished,0,6.0,88.76,0.6629999999999967,0.2079999999999984,0.3990000000000009,0.20199999999999818,295.0,0.08899999999999864,0.0,0.0,0.4340000000000046,0.17299999999999827,297.0,0.0,28.0,5,55.0,3,5.333333333333333,0.0,0,2024,4,Suzuka Circuit
HAM,Mercedes,9.0,7.0,3,Finished,0,7.0,88.766,0.47400000000000375,0.08200000000000074,0.3130000000000024,0.16000000000000014,297.0,0.11899999999999977,0.5010000000000048,1.107999999999997,0.0,0.0,295.0,0.0,8.0,10,26.0,4,11.333333333333334,0.3333333333333333,0,2024,4,Suzuka Circuit
TSU,RB F1 Team,10.0,10.0,3,Lapped,1,10.0,89.413,0.7779999999999916,0.36299999999999955,0.45600000000000307,0.22100000000000009,300.0,0.0,6.221000000000004,1.222999999999999,3.9350000000000023,1.6699999999999982,284.0,0.0,6.0,11,6.0,6,12.0,0.0,0,2024,4,Suzuka Circuit
HUL,Haas F1 Team,11.0,12.0,3,Lapped,1,12.0,89.494,1.5759999999999934,0.9440000000000026,0.7420000000000044,0.15200000000000102,302.0,0.0,20.454000000000008,5.18,3.6260000000000048,12.254999999999999,213.0,0.0,3.0,13,4.0,7,11.666666666666666,0.0,0,2024,4,Suzuka Circuit
STR,Aston Martin,12.0,16.0,4,Lapped,1,16.0,90.024,1.7789999999999964,0.4039999999999999,0.8370000000000033,0.5030000000000001,299.0,1.2600000000000051,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,9.0,9,25.0,5,11.666666666666666,0.3333333333333333,0,2024,4,Suzuka Circuit
MAG,Haas F1 Team,13.0,18.0,2,Lapped,1,18.0,90.131,1.899000000000001,1.158999999999999,0.7040000000000006,0.22800000000000153,301.0,0.3230000000000075,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,1.0,14,4.0,7,11.333333333333334,0.0,0,2024,4,Suzuka Circuit
BOT,Kick Sauber,14.0,13.0,3,Lapped,1,13.0,89.593,0.9830000000000041,0.5650000000000013,0.5080000000000027,0.1720000000000006,296.0,0.0,21.334000000000003,5.109999999999999,8.379000000000005,8.451999999999998,214.0,0.0,0.0,20,0.0,9,16.666666666666668,0.0,0,2024,4,Suzuka Circuit
OCO,Alpine F1 Team,15.0,15.0,3,Lapped,1,15.0,89.811,1.4590000000000032,0.6400000000000006,0.6060000000000016,0.4750000000000014,302.0,0.0,24.388000000000005,9.149999999999999,7.402999999999999,8.442,231.0,0.0,0.0,18,0.0,10,15.333333333333334,0.0,0,2024,4,Suzuka Circuit
GAS,Alpine F1 Team,16.0,17.0,3,Lapped,1,17.0,90.119,1.578000000000003,0.6170000000000009,0.7010000000000005,0.4519999999999982,300.0,0.11899999999999977,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,0.0,19,0.0,10,17.0,0.3333333333333333,0,2024,4,Suzuka Circuit
SAR,Williams,17.0,19.0,4,Lapped,1,19.0,90.139,1.8889999999999958,1.3049999999999997,0.6640000000000015,0.1819999999999986,309.0,0.9189999999999969,14.053000000000004,3.200999999999997,3.9695000000000036,8.031499999999998,249.5,0.0,0.0,21,0.0,8,17.0,0.0,0,2024,4,Suzuka Circuit
ZHO,Kick Sauber,18.0,20.0,3,Retired,1,20.0,90.143,1.5039999999999907,0.7759999999999962,0.6230000000000047,0.3670000000000009,293.0,0.5209999999999866,28.592,9.692,7.6469999999999985,11.86,186.0,7.257999999999996,0.0,16,0.0,9,14.666666666666666,0.0,0,2024,4,Suzuka Circuit
RIC,RB F1 Team,19.0,11.0,1,Retired,1,11.0,89.472,1.1189999999999998,0.6709999999999994,0.5140000000000029,0.12600000000000122,301.0,0.3410000000000082,7.188000000000002,2.1240000000000023,4.004000000000005,1.666999999999998,273.0,0.9669999999999987,0.0,17,6.0,6,13.666666666666666,0.0,0,2024,4,Suzuka Circuit
ALB,Williams,20.0,14.0,1,Retired,1,14.0,89.714,0.9699999999999989,0.9179999999999993,0.31400000000000006,0.0,308.0,0.0,29.096000000000004,6.459000000000003,5.524000000000001,17.720000000000002,268.0,0.0,0.0,15,0.0,8,12.333333333333334,0.0,0,2024,4,Suzuka Circuit
VER,Red Bull,1.0,1.0,2,Finished,0,1.0,93.66,,,,,,,,,,,,,77.0,1,141.0,1,7.0,0.3333333333333333,0,2024,5,Shanghai International Circuit
NOR,McLaren,2.0,4.0,1,Finished,0,4.0,94.165,,,,,,,,,,,,,37.0,5,69.0,3,5.333333333333333,0.0,0,2024,5,Shanghai International Circuit
PER,Red Bull,3.0,2.0,2,Finished,0,2.0,93.982,,,,,,,,,,,,,64.0,2,141.0,1,3.0,0.0,0,2024,5,Shanghai International Circuit
LEC,Ferrari,4.0,6.0,1,Finished,0,6.0,94.289,,,,,,,,,,,,,59.0,3,120.0,2,3.0,0.0,0,2024,5,Shanghai International Circuit
SAI,Ferrari,5.0,7.0,1,Finished,0,7.0,94.297,,,,,,,,,,,,,55.0,4,120.0,2,2.0,0.0,0,2024,5,Shanghai International Circuit
RUS,Mercedes,6.0,8.0,2,Finished,0,8.0,94.433,,,,,,,,,,,,,24.0,7,34.0,4,10.0,0.3333333333333333,0,2024,5,Shanghai International Circuit
ALO,Aston Martin,7.0,3.0,3,Finished,0,3.0,94.148,,,,,,,,,,,,,24.0,8,33.0,5,6.333333333333333,0.0,0,2024,5,Shanghai International Circuit
PIA,McLaren,8.0,5.0,2,Finished,0,5.0,94.273,,,,,,,,,,,,,32.0,6,69.0,3,5.333333333333333,0.0,0,2024,5,Shanghai International Circuit
HAM,Mercedes,9.0,18.0,2,Finished,0,18.0,95.573,,,,,,,,,,,,,10.0,9,34.0,4,12.0,0.3333333333333333,0,2024,5,Shanghai International Circuit
HUL,Haas F1 Team,10.0,9.0,2,Finished,0,9.0,94.604,,,,,,,,,,,,,3.0,13,4.0,7,10.0,0.0,0,2024,5,Shanghai International Circuit
OCO,Alpine F1 Team,11.0,13.0,2,Finished,0,13.0,95.223,,,,,,,,,,,,,0.0,18,0.0,10,14.666666666666666,0.0,0,2024,5,Shanghai International Circuit
ALB,Williams,12.0,14.0,2,Finished,0,14.0,95.241,,,,,,,,,,,,,0.0,15,0.0,8,14.0,0.3333333333333333,0,2024,5,Shanghai International Circuit
GAS,Alpine F1 Team,13.0,15.0,3,Finished,0,15.0,95.287,,,,,,,,,,,,,0.0,19,0.0,10,16.333333333333332,0.3333333333333333,0,2024,5,Shanghai International Circuit
ZHO,Kick Sauber,14.0,16.0,3,Finished,0,16.0,95.505,,,,,,,,,,,,,0.0,16,0.0,9,17.0,0.3333333333333333,0,2024,5,Shanghai International Circuit
STR,Aston Martin,15.0,11.0,4,Finished,0,11.0,94.838,,,,,,,,,,,,,9.0,10,33.0,5,12.333333333333334,0.3333333333333333,0,2024,5,Shanghai International Circuit
MAG,Haas F1 Team,16.0,17.0,2,Finished,0,17.0,95.516,,,,,,,,,,,,,1.0,14,4.0,7,11.666666666666666,0.0,0,2024,5,Shanghai International Circuit
SAR,Williams,17.0,20.0,3,Finished,0,20.0,96.358,,,,,,,,,,,,,0.0,21,0.0,8,15.5,0.0,0,2024,5,Shanghai International Circuit
RIC,RB F1 Team,18.0,12.0,1,Retired,1,12.0,94.934,,,,,,,,,,,,,0.0,17,7.0,6,15.666666666666666,0.3333333333333333,0,2024,5,Shanghai International Circuit
TSU,RB F1 Team,19.0,19.0,2,Retired,1,19.0,95.746,,,,,,,,,,,,,7.0,11,7.0,6,10.666666666666666,0.0,0,2024,5,Shanghai International Circuit
BOT,Kick Sauber,20.0,10.0,1,Retired,1,10.0,94.665,,,,,,,,,,,,,0.0,20,0.0,9,15.0,0.0,0,2024,5,Shanghai International Circuit
NOR,McLaren,1.0,5.0,1,Finished,0,5.0,87.594,,,,,,,,,,,,,58.0,5,96.0,3,3.3333333333333335,0.0,1,2024,6,Miami International Autodrome
